player_name,team_abbreviation,age,player_height,player_weight,college,country,draft_year,draft_round,draft_number,gp,pts,reb,ast,net_rating,oreb_pct,dreb_pct,usg_pct,ts_pct,ast_pct,season,season_start,era,is_international,efficiency,efficiency_score,minutes,cap_value_usd,tier
Giannis Antetokounmpo,MIL,28.0,213.36,110.222856,,Greece,2013.0,1.0,15.0,63,31.1,11.8,5.7,7.2,0.065,0.268,0.373,0.605,0.314,2022-23,2022,Modern (19+),True,29.403000000000006,43.35,25.0,44481721.94090912,SUPERSTAR
Joel Embiid,PHI,29.0,213.36,127.00576,Kansas,Cameroon,2014.0,1.0,3.0,66,33.1,10.2,4.2,8.8,0.057,0.243,0.37,0.655,0.233,2022-23,2022,Modern (19+),True,31.1125,43.18,25.0,43647634.29817899,SUPERSTAR
Luka Doncic,DAL,24.0,200.66,104.32616,,Slovenia,2018.0,1.0,3.0,66,32.4,8.6,8.0,2.1,0.024,0.2239999999999999,0.368,0.609,0.408,2022-23,2022,Modern (19+),True,29.841,44.02,25.0,43398103.18623972,SUPERSTAR
Nikola Jokic,DEN,28.0,210.82,128.820128,,Serbia,2014.0,2.0,41.0,69,24.5,11.8,9.8,12.5,0.08,0.283,0.263,0.701,0.412,2022-23,2022,Modern (19+),True,32.31609999999999,39.62,25.0,40654344.251414515,SUPERSTAR
Jayson Tatum,BOS,25.0,203.2,95.25432,Duke,USA,2017.0,1.0,3.0,74,30.1,8.8,4.6,8.5,0.0289999999999999,0.2,0.319,0.607,0.205,2022-23,2022,Modern (19+),False,26.404500000000002,39.480000000000004,25.0,39907563.735342905,SUPERSTAR
Shai Gilgeous-Alexander,OKC,24.0,198.12,88.45044,Kentucky,Canada,2018.0,1.0,11.0,68,31.4,4.8,5.5,2.7,0.023,0.109,0.318,0.626,0.249,2022-23,2022,Modern (19+),True,26.1042,38.61,25.0,38064533.48525024,SUPERSTAR
Damian Lillard,POR,32.0,187.96,88.45044,Weber State,USA,2012.0,1.0,6.0,58,32.2,4.8,7.3,2.1,0.022,0.1119999999999999,0.331,0.645,0.3379999999999999,2022-23,2022,Modern (19+),False,28.5735,40.67,25.0,37012747.435244106,SUPERSTAR
Anthony Davis,LAL,30.0,208.28,114.758776,Kentucky,USA,2012.0,1.0,1.0,56,25.9,12.5,2.6,4.8,0.102,0.248,0.2769999999999999,0.627,0.128,2022-23,2022,Modern (19+),False,25.707,36.47,25.0,35954766.542529814,SUPERSTAR
Julius Randle,NYK,28.0,203.2,113.398,Kentucky,USA,2014.0,1.0,7.0,77,25.1,10.0,4.1,2.7,0.05,0.226,0.288,0.581,0.184,2022-23,2022,Modern (19+),False,22.7752,34.97,25.0,35882948.47228585,SUPERSTAR
Devin Booker,PHX,26.0,195.58,93.439952,Kentucky,USA,2015.0,1.0,13.0,53,27.8,4.5,5.5,6.2,0.025,0.105,0.311,0.601,0.251,2022-23,2022,Modern (19+),False,22.717799999999997,34.8,25.0,35708510.34702738,SUPERSTAR
Donovan Mitchell,CLE,26.0,185.42,97.52228,Louisville,USA,2017.0,1.0,13.0,68,28.3,4.3,4.4,5.9,0.027,0.0969999999999999,0.31,0.614,0.205,2022-23,2022,Modern (19+),False,22.718,34.39,25.0,35287806.63316873,SUPERSTAR
Trae Young,ATL,24.0,185.42,74.389088,Oklahoma,USA,2018.0,1.0,5.0,73,26.2,3.0,10.2,1.3,0.021,0.062,0.313,0.573,0.414,2022-23,2022,Modern (19+),False,22.576199999999996,35.44,25.0,34939317.967295215,STAR
Jaylen Brown,BOS,26.0,198.12,101.151016,California,USA,2016.0,1.0,3.0,67,26.6,6.9,3.5,5.4,0.032,0.152,0.307,0.581,0.163,2022-23,2022,Modern (19+),False,21.497,33.88,25.0,34764492.25739333,STAR
Ja Morant,MEM,23.0,187.96,78.92500799999999,Murray State,USA,2019.0,1.0,2.0,61,26.2,5.9,8.1,7.3,0.0289999999999999,0.139,0.3379999999999999,0.557,0.412,2022-23,2022,Modern (19+),False,22.391400000000004,36.0,25.0,34270694.35960385,STAR
Pascal Siakam,TOR,29.0,203.2,104.32616,New Mexico State,Cameroon,2016.0,1.0,27.0,71,24.2,7.8,5.8,2.4,0.047,0.177,0.27,0.565,0.244,2022-23,2022,Modern (19+),True,21.356999999999996,33.72,25.0,34085183.61590078,STAR
Domantas Sabonis,SAC,27.0,215.9,108.86208,Gonzaga,Lithuania,2016.0,1.0,11.0,79,19.1,12.3,7.3,3.9,0.096,0.275,0.213,0.6679999999999999,0.297,2022-23,2022,Modern (19+),True,25.851599999999998,32.82,25.0,33845625.0,STAR
Lauri Markkanen,UTA,26.0,213.36,108.86208,Arizona,Finland,2017.0,1.0,7.0,66,25.6,8.6,1.9,3.8,0.055,0.183,0.259,0.6409999999999999,0.086,2022-23,2022,Modern (19+),True,23.140099999999997,32.95,25.0,33810213.1015676,STAR
Brandon Ingram,NOP,25.0,203.2,86.18248,Duke,USA,2016.0,1.0,2.0,45,24.7,5.5,5.8,3.0,0.015,0.145,0.306,0.5820000000000001,0.2769999999999999,2022-23,2022,Modern (19+),False,20.952,32.61,25.0,32963162.447049953,STAR
Kyrie Irving,DAL,31.0,187.96,88.45044,Duke,Australia,2011.0,1.0,1.0,60,27.1,5.1,5.5,4.7,0.0289999999999999,0.107,0.286,0.613,0.233,2022-23,2022,Modern (19+),True,23.110100000000003,34.52,25.0,32861788.035931252,STAR
De'Aaron Fox,SAC,25.0,190.5,83.91452,Kentucky,USA,2017.0,1.0,5.0,73,25.0,4.2,6.1,3.1,0.017,0.111,0.288,0.599,0.281,2022-23,2022,Modern (19+),False,21.144699999999997,32.21,25.0,32558830.494310915,STAR
Kristaps Porzingis,WAS,27.0,220.98,108.86208,,Latvia,2015.0,1.0,4.0,65,23.2,8.4,2.7,1.4,0.057,0.1939999999999999,0.272,0.627,0.125,2022-23,2022,Modern (19+),True,21.506100000000004,30.97,25.0,31937812.499999996,STAR
Zach LaVine,CHI,28.0,195.58,90.7184,UCLA,USA,2014.0,1.0,13.0,77,24.8,4.5,4.2,0.3,0.016,0.108,0.278,0.607,0.187,2022-23,2022,Modern (19+),False,20.3345,30.89,25.0,31696433.466082644,STAR
Jalen Brunson,NYK,26.0,187.96,86.18248,Villanova,USA,2018.0,2.0,33.0,68,24.0,3.5,6.2,2.1,0.016,0.085,0.266,0.597,0.28,2022-23,2022,Modern (19+),False,20.1189,30.79,25.0,31593822.804165892,STAR
Zion Williamson,NOP,22.0,198.12,128.820128,Duke,USA,2019.0,1.0,1.0,29,26.0,7.0,4.6,7.8,0.06,0.148,0.288,0.652,0.231,2022-23,2022,Modern (19+),False,24.5152,34.12,25.0,31051756.63856722,STAR
Karl-Anthony Towns,MIN,27.0,213.36,112.490816,Kentucky,USA,2015.0,1.0,1.0,29,20.8,8.1,4.8,1.8,0.05,0.181,0.25,0.618,0.225,2022-23,2022,Modern (19+),False,20.826599999999996,29.83,25.0,30762187.499999993,STAR
Kevin Durant,PHX,34.0,208.28,108.86208,Texas,USA,2007.0,1.0,2.0,47,29.1,6.7,5.0,6.8,0.012,0.166,0.305,0.677,0.228,2022-23,2022,Modern (19+),False,27.621600000000004,37.29,25.0,30099147.61325924,STAR
Kyle Kuzma,WAS,27.0,205.74,100.243832,Utah,USA,2017.0,1.0,27.0,64,21.2,7.2,3.7,0.3,0.025,0.172,0.273,0.544,0.1639999999999999,2022-23,2022,Modern (19+),False,17.462400000000002,28.83,25.0,29730937.5,STAR
Bam Adebayo,MIA,25.0,205.74,115.66596,Kentucky,USA,2017.0,1.0,14.0,75,20.4,9.2,3.2,1.8,0.073,0.206,0.251,0.5920000000000001,0.154,2022-23,2022,Modern (19+),False,19.4176,29.079999999999995,25.0,29394932.964127947,STAR
Bradley Beal,WAS,30.0,193.04,93.893544,Florida,USA,2012.0,1.0,3.0,50,23.2,3.9,5.4,0.7,0.026,0.091,0.288,0.593,0.26,2022-23,2022,Modern (19+),False,19.2725,29.71,25.0,29290269.097300816,STAR
Dejounte Murray,ATL,26.0,195.58,81.64656,Washington,USA,2016.0,1.0,29.0,74,20.5,5.3,6.1,-1.1,0.019,0.127,0.239,0.54,0.239,2022-23,2022,Modern (19+),False,17.226,28.48,25.0,29223516.51388908,STAR
Tyrese Haliburton,IND,23.0,195.58,83.91452,Iowa State,USA,2020.0,1.0,12.0,56,20.7,3.7,10.4,-1.0,0.018,0.092,0.238,0.624,0.457,2022-23,2022,Modern (19+),False,21.7152,30.57,25.0,29101531.29369694,STAR
LaMelo Ball,CHA,21.0,200.66,81.64656,,USA,2020.0,1.0,3.0,36,23.3,6.4,8.4,-4.7,0.031,0.147,0.289,0.541,0.352,2022-23,2022,Modern (19+),False,20.6121,33.660000000000004,25.0,28993795.169731643,STAR
Stephen Curry,GSW,35.0,187.96,83.91452,Davidson,USA,2009.0,1.0,7.0,56,29.4,6.1,6.3,5.8,0.02,0.147,0.297,0.6559999999999999,0.2739999999999999,2022-23,2022,Modern (19+),False,27.420799999999996,38.08,25.0,28515872.685883842,STAR
Desmond Bane,MEM,25.0,195.58,97.52228,TCU,USA,2020.0,1.0,30.0,58,21.5,5.0,4.4,9.0,0.022,0.123,0.252,0.606,0.2019999999999999,2022-23,2022,Modern (19+),False,18.725399999999997,28.08,25.0,28384103.082280356,STAR
